input,init_output,learned_output
1.5915916,1.6188971,1.6188971
1.6066066,1.6376814,1.6376814
1.6216216,1.6561645,1.6561645
1.6366367,1.6743149,1.6743149
1.6516517,1.692105,1.692105
1.6666667,1.7095119,1.7095119
1.6816818,1.7265165,1.7265165
1.6966968,1.7431042,1.7431042
1.7117118,1.7592646,1.7592646
1.7267268,1.774992,1.774992
1.7417418,1.7902843,1.7902843
1.7567568,1.8051435,1.8051435
1.7717718,1.819576,1.819576
1.7867868,1.8335915,1.8335915
1.8018018,1.8472029,1.8472029
1.8168168,1.8604263,1.8604263
1.8318319,1.8732812,1.8732812
1.8468469,1.8857887,1.8857887
1.861862,1.8979728,1.8979728
1.876877,1.9098599,1.9098599
1.891892,1.9214776,1.9214776
1.906907,1.9328556,1.9328556
1.921922,1.9440246,1.9440246
1.936937,1.9550165,1.9550165
1.951952,1.9658641,1.9658641
1.966967,1.9766016,1.9766016
1.981982,1.9872626,1.9872626
1.996997,1.9978819,1.9978819
2.012012,2.0084944,2.0084944
2.0270271,2.0191345,2.0191345
2.042042,2.029837,2.029837
2.0570571,2.040637,2.040637
2.072072,2.0515673,2.0515673
2.0870872,2.0626616,2.0626616
2.102102,2.0739524,2.0739524
2.1171172,2.0854712,2.0854712
2.1321323,2.0972474,2.0972474
2.1471472,2.1093102,2.1093102
2.1621623,2.1216857,2.1216857
2.1771772,2.1343992,2.1343992
2.1921923,2.1474736,2.1474736
2.2072072,2.1609282,2.1609282
2.2222223,2.174781,2.174781
2.2372372,2.1890461,2.1890461
2.2522523,2.2037349,2.2037349
2.2672672,2.2188544,2.2188544
2.2822824,2.2344089,2.2344089
2.2972972,2.2503974,2.2503974
2.3123124,2.2668166,2.2668166
2.3273275,2.2836573,2.2836573
2.3423424,2.3009064,2.3009064
2.3573575,2.3185477,2.3185477
2.3723724,2.3365586,2.3365586
2.3873875,2.354914,2.354914
2.4024024,2.3735838,2.3735838
2.4174175,2.3925345,2.3925345
2.4324324,2.4117293,2.4117293
2.4474475,2.4311285,2.4311285
2.4624624,2.450689,2.450689
2.4774776,2.4703662,2.4703662
2.4924924,2.4901145,2.4901145
2.5075076,2.5098863,2.5098863
2.5225227,2.5296347,2.5296347
2.5375376,2.5493116,2.5493116
2.5525527,2.5688725,2.5688725
2.5675676,2.5882714,2.5882714
2.5825827,2.6074662,2.6074662
2.5975976,2.626417,2.626417
2.6126127,2.645087,2.645087
2.6276276,2.6634421,2.6634421
2.6426427,2.681453,2.681453
2.6576576,2.6990943,2.6990943
2.6726727,2.7163439,2.7163439
2.6876876,2.7331843,2.7331843
2.7027028,2.7496035,2.7496035
2.717718,2.7655926,2.7655926
2.7327328,2.781147,2.781147
2.747748,2.7962666,2.7962666
2.7627628,2.8109548,2.8109548
2.777778,2.8252203,2.8252203
2.7927928,2.8390734,2.8390734
2.807808,2.8525279,2.8525279
2.8228228,2.8656023,2.8656023
2.837838,2.8783162,2.8783162
2.8528528,2.8906918,2.8906918
2.867868,2.9027545,2.9027545
2.882883,2.9145312,2.9145312
2.897898,2.9260495,2.9260495
2.912913,2.937341,2.937341
2.927928,2.9484353,2.9484353
2.942943,2.959366,2.959366
2.957958,2.970166,2.970166
2.972973,2.9808688,2.9808688
2.987988,2.9915094,2.9915094
3.0030031,3.0021224,3.0021224
3.018018,3.0127416,3.0127416
3.0330331,3.023403,3.023403
3.048048,3.0341406,3.0341406
3.0630631,3.0449889,3.0449889
3.0780783,3.0559812,3.0559812
3.0930932,3.0671504,3.0671504
3.1081083,3.078529,3.078529
3.1231232,3.090147,3.090147
3.1381383,3.1020348,3.1020348
3.1531532,3.1142194,3.1142194
3.1681683,3.126728,3.126728
3.1831832,3.1395829,3.1395829
3.1981983,3.1528072,3.1528072
3.2132132,3.1664193,3.1664193
3.2282283,3.1804357,3.1804357
3.2432432,3.194869,3.194869
3.2582583,3.20973,3.20973
3.2732735,3.2250233,3.2250233
3.2882884,3.2407515,3.2407515
3.3033035,3.256913,3.256913
3.3183184,3.2735019,3.2735019
3.3333335,3.2905083,3.2905083
3.3483484,3.3079166,3.3079166
3.3633635,3.3257084,3.3257084
3.3783784,3.3438604,3.3438604
3.3933935,3.3623455,3.3623455
3.4084084,3.381132,3.381132
3.4234235,3.400185,3.400185
3.4384384,3.4194665,3.4194665
3.4534535,3.4389353,3.4389353
3.4684687,3.4585483,3.4585483
3.4834836,3.4782593,3.4782593
3.4984987,3.4980228,3.4980228
3.5135136,3.5177908,3.5177908
3.5285287,3.5375166,3.5375166
3.5435436,3.5571525,3.5571525
3.5585587,3.5766535,3.5766535
3.5735736,3.5959759,3.5959759
3.5885887,3.615078,3.615078
3.6036036,3.6339204,3.6339204
3.6186187,3.6524684,3.6524684
3.6336336,3.670689,3.670689
3.6486487,3.6885555,3.6885555
3.6636639,3.7060423,3.7060423
3.6786788,3.72313,3.72313
3.6936939,3.7398033,3.7398033
3.7087088,3.756051,3.756051
3.723724,3.7718666,3.7718666
3.7387388,3.7872467,3.7872467
3.753754,3.8021932,3.8021932
3.7687688,3.8167114,3.8167114
3.783784,3.8308103,3.8308103
3.7987988,3.844502,3.844502
3.813814,3.8578024,3.8578024
3.8288288,3.8707297,3.8707297
3.843844,3.8833055,3.8833055
3.858859,3.895553,3.895553
3.873874,3.907498,3.907498
3.888889,3.919168,3.919168
3.903904,3.9305916,3.9305916
3.918919,3.9418004,3.9418004
3.933934,3.9528255,3.9528255
3.948949,3.9636998,3.9636998
3.963964,3.974457,3.974457
3.978979,3.9851308,3.9851308
3.993994,3.995756,3.995756
4.009009,4.006367,4.006367
4.024024,4.0169992,4.0169992
4.039039,4.0276866,4.0276866
4.0540543,4.038465,4.038465
4.0690694,4.0493665,4.0493665
4.084084,4.0604258,4.0604258
4.099099,4.0716753,4.0716753
4.1141143,4.083146,4.083146
4.1291294,4.0948687,4.0948687
4.144144,4.106871,4.106871
4.159159,4.1191826,4.1191826
4.1741743,4.131827,4.131827
4.1891894,4.144828,4.144828
4.204204,4.1582046,4.1582046
4.219219,4.171977,4.171977
4.2342343,4.1861587,4.1861587
4.2492495,4.200762,4.200762
4.2642646,4.215795,4.215795
4.279279,4.231262,4.231262
4.2942944,4.2471642,4.2471642
4.3093095,4.263498,4.263498
4.3243246,4.2802553,4.2802553
4.3393393,4.297424,4.297424
4.3543544,4.314988,4.314988
4.3693695,4.3329277,4.3329277
4.3843846,4.3512163,4.3512163
4.3993993,4.369826,4.369826
4.4144144,4.388723,4.388723
4.4294295,4.407872,4.407872
4.4444447,4.427234,4.427234
4.45946,4.4467664,4.4467664
4.4744744,4.466423,4.466423
4.4894896,4.486161,4.486161
4.5045047,4.5059323,4.5059323
4.51952,4.525689,4.525689
4.5345345,4.545384,4.545384
4.5495496,4.5649714,4.5649714
4.5645647,4.5844064,4.5844064
4.57958,4.6036453,4.6036453
4.5945945,4.622648,4.622648
4.6096096,4.641377,4.641377
4.6246247,4.6597977,4.6597977
4.63964,4.67788,4.67788
4.654655,4.695597,4.695597
4.6696696,4.712926,4.712926
4.6846848,4.72985,4.72985
4.6997,4.7463536,4.7463536
4.714715,4.7624297,4.7624297
4.7297297,4.7780704,4.7780704
4.744745,4.7932773,4.7932773
4.75976,4.8080516,4.8080516
4.774775,4.8224006,4.8224006
4.7897897,4.8363347,4.8363347
4.804805,4.849868,4.849868
4.81982,4.863017,4.863017
4.834835,4.875801,4.875801
4.84985,4.8882427,4.8882427
4.864865,4.900366,4.900366
4.87988,4.912197,4.912197
4.894895,4.923765,4.923765
4.90991,4.9350996,4.9350996
4.924925,4.9462304,4.9462304
4.93994,4.9571915,4.9571915
4.954955,4.9680147,4.9680147
4.96997,4.9787345,4.9787345
4.984985,4.9893847,4.9893847
5.0,5.0,5.0
5.015015,5.0106153,5.0106153
5.0300303,5.021266,5.021266
5.0450454,5.0319853,5.0319853
5.06006,5.0428085,5.0428085
5.075075,5.0537696,5.0537696
5.0900903,5.064901,5.064901
5.1051054,5.0762353,5.0762353
5.12012,5.087803,5.087803
5.135135,5.099634,5.099634
5.1501503,5.1117578,5.1117578
5.1651654,5.124199,5.124199
5.18018,5.136983,5.136983
5.195195,5.1501317,5.1501317
5.2102103,5.1636653,5.1636653
5.2252254,5.1776,5.1776
5.2402406,5.191949,5.191949
5.255255,5.2067227,5.2067227
5.2702703,5.2219296,5.2219296
5.2852855,5.237571,5.237571
5.3003006,5.2536464,5.2536464
5.3153152,5.27015,5.27015
5.3303304,5.287074,5.287074
5.3453455,5.3044033,5.3044033
5.3603606,5.3221207,5.3221207
5.3753753,5.3402023,5.3402023
5.3903904,5.358623,5.358623
5.4054055,5.3773527,5.3773527
5.4204206,5.396355,5.396355
5.435436,5.415594,5.415594
5.4504504,5.4350286,5.4350286
5.4654655,5.454616,5.454616
5.4804807,5.474312,5.474312
5.495496,5.4940686,5.4940686
5.5105104,5.513839,5.513839
5.5255256,5.533577,5.533577
5.5405407,5.553235,5.553235
5.555556,5.572767,5.572767
5.5705705,5.592128,5.592128
5.5855856,5.6112766,5.6112766
5.6006007,5.6301746,5.6301746
5.615616,5.648784,5.648784
5.630631,5.667073,5.667073
5.6456456,5.6850114,5.6850114
5.6606607,5.7025757,5.7025757
5.675676,5.7197456,5.7197456
5.690691,5.7365026,5.7365026
5.7057056,5.752836,5.752836
5.720721,5.768738,5.768738
5.735736,5.7842054,5.7842054
5.750751,5.799238,5.799238
5.765766,5.813842,5.813842
5.780781,5.8280234,5.8280234
5.795796,5.8417954,5.8417954
5.810811,5.855173,5.855173
5.825826,5.868173,5.868173
5.840841,5.8808174,5.8808174
5.855856,5.8931284,5.8931284
5.870871,5.905132,5.905132
5.885886,5.916855,5.916855
5.900901,5.928325,5.928325
5.915916,5.9395742,5.9395742
5.930931,5.9506335,5.9506335
5.945946,5.961536,5.961536
5.9609613,5.9723134,5.9723134
5.975976,5.9830008,5.9830008
5.990991,5.993633,5.993633
6.0060062,6.0042443,6.0042443
6.0210214,6.0148697,6.0148697
6.036036,6.0255427,6.0255427
6.051051,6.0363,6.0363
6.0660663,6.0471754,6.0471754
6.0810814,6.0582,6.0582
6.096096,6.0694084,6.0694084
6.111111,6.0808325,6.0808325
6.1261263,6.0925026,6.0925026
6.1411414,6.1044474,6.1044474
6.1561565,6.116695,6.116695
6.171171,6.1292706,6.1292706
6.1861863,6.1421976,6.1421976
6.2012014,6.1554985,6.1554985
6.2162166,6.16919,6.16919
6.231231,6.1832886,6.1832886
6.2462463,6.1978073,6.1978073
6.2612615,6.212754,6.212754
6.2762766,6.228134,6.228134
6.291291,6.243949,6.243949
6.3063064,6.2601967,6.2601967
6.3213215,6.2768707,6.2768707
6.3363366,6.293958,6.293958
6.3513517,6.311445,6.311445
6.3663664,6.329311,6.329311
6.3813815,6.3475323,6.3475323
6.3963966,6.36608,6.36608
6.411412,6.384923,6.384923
6.4264264,6.404024,6.404024
6.4414415,6.4233465,6.4233465
6.4564567,6.442848,6.442848
6.471472,6.4624844,6.4624844
6.4864864,6.482209,6.482209
6.5015016,6.5019774,6.5019774
6.5165167,6.521741,6.521741
6.531532,6.5414524,6.5414524
6.546547,6.561065,6.561065
6.5615616,6.580534,6.580534
6.5765767,6.5998154,6.5998154
6.591592,6.6188684,6.6188684
6.606607,6.637655,6.637655
6.6216216,6.65614,6.65614
6.6366367,6.674292,6.674292
6.651652,6.692084,6.692084
6.666667,6.709492,6.709492
6.6816816,6.726498,6.726498
6.6966968,6.743087,6.743087
6.711712,6.7592487,6.7592487
6.726727,6.7749777,6.7749777
6.741742,6.790271,6.790271
6.756757,6.805131,6.805131
6.771772,6.8195643,6.8195643
6.786787,6.833581,6.833581
6.801802,6.847193,6.847193
6.816817,6.860417,6.860417
6.831832,6.873273,6.873273
6.846847,6.885781,6.885781
6.861862,6.8979654,6.8979654
6.876877,6.909853,6.909853
6.891892,6.921471,6.921471
6.906907,6.93285,6.93285
6.921922,6.9440193,6.9440193
6.9369373,6.955012,6.955012
6.951952,6.9658594,6.9658594
6.966967,6.976598,6.976598
6.981982,6.987259,6.987259
6.9969974,6.997878,6.997878
7.012012,7.0084906,7.0084906
7.027027,7.019131,7.019131
7.0420423,7.0298343,7.0298343
7.0570574,7.040634,7.040634
7.072072,7.0515647,7.0515647
7.087087,7.0626593,7.0626593
7.1021023,7.073951,7.073951
7.1171174,7.0854692,7.0854692
7.1321325,7.0972457,7.0972457
7.147147,7.1093082,7.1093082
7.1621623,7.121684,7.121684
7.1771774,7.134398,7.134398
7.1921926,7.1474724,7.1474724
7.207207,7.1609273,7.1609273
7.2222223,7.17478,7.17478
7.2372375,7.189045,7.189045
7.2522526,7.203734,7.203734
7.267267,7.2188535,7.2188535
7.2822824,7.2344074,7.2344074
7.2972975,7.2503963,7.2503963
7.3123126,7.2668157,7.2668157
7.3273277,7.283657,7.283657
7.3423424,7.300906,7.300906
7.3573575,7.3185472,7.3185472
7.3723726,7.336558,7.336558
7.3873878,7.3549137,7.3549137
7.4024024,7.373584,7.373584
7.4174175,7.392534,7.392534
7.4324327,7.4117293,7.4117293
7.447448,7.4311285,7.4311285
7.4624624,7.4506884,7.4506884
7.4774776,7.4703665,7.4703665
7.4924927,7.490114,7.490114
7.5075073,7.509886,7.509886
7.5225224,7.5296345,7.5296345
7.5375376,7.5493116,7.5493116
7.552552,7.5688715,7.5688715
7.5675673,7.588271,7.588271
7.5825825,7.6074657,7.6074657
7.5975976,7.6264167,7.6264167
7.6126122,7.6450863,7.6450863
7.6276274,7.6634417,7.6634417
7.6426425,7.6814528,7.6814528
7.6576576,7.6990943,7.6990943
7.6726723,7.7163434,7.7163434
7.6876874,7.733184,7.733184
7.7027025,7.7496033,7.7496033
7.7177176,7.7655926,7.7655926
7.732733,7.7811465,7.7811465
7.7477474,7.7962656,7.7962656
7.7627625,7.810955,7.810955
7.7777777,7.82522,7.82522
7.792793,7.8390727,7.8390727
7.8078074,7.8525276,7.8525276
7.8228226,7.865602,7.865602
7.8378377,7.8783164,7.8783164
7.852853,7.8906918,7.8906918
7.8678675,7.9027543,7.9027543
7.8828826,7.9145308,7.9145308
7.8978977,7.9260497,7.9260497
7.912913,7.9373407,7.9373407
7.927928,7.948436,7.948436
7.9429426,7.959366,7.959366
7.9579577,7.9701653,7.9701653
7.972973,7.9808683,7.9808683
7.987988,7.9915094,7.9915094
8.003003,8.002122,8.002122
8.018018,8.012741,8.012741
8.033032,8.023402,8.023402
8.048048,8.034141,8.034141
8.063063,8.044989,8.044989
8.078078,8.055982,8.055982
8.093093,8.06715,8.06715
8.108108,8.078528,8.078528
8.123123,8.090147,8.090147
8.138138,8.102035,8.102035
8.153153,8.11422,8.11422
8.168168,8.126728,8.126728
8.183183,8.139583,8.139583
8.198198,8.152807,8.152807
8.213213,8.166419,8.166419
8.228228,8.180435,8.180435
8.243243,8.194869,8.194869
8.258258,8.209729,8.209729
8.273273,8.225023,8.225023
8.288288,8.240751,8.240751
8.303303,8.256912,8.256912
8.318318,8.273502,8.273502
8.333333,8.290508,8.290508
8.348349,8.307917,8.307917
8.363363,8.325708,8.325708
8.378378,8.34386,8.34386
8.3933935,8.362346,8.362346
8.408408,8.381132,8.381132
8.423423,8.400185,8.400185
8.438438,8.419466,8.419466
8.453453,8.438934,8.438934
8.468469,8.458549,8.458549
8.483483,8.478258,8.478258
8.498498,8.498022,8.498022
8.513514,8.517791,8.517791
8.528528,8.537516,8.537516
8.543544,8.557153,8.557153
8.558558,8.5766535,8.5766535
8.573573,8.595975,8.595975
8.588589,8.615078,8.615078
8.603603,8.633921,8.633921
8.618618,8.652468,8.652468
8.633634,8.670689,8.670689
8.648648,8.688555,8.688555
8.663664,8.706041,8.706041
8.6786785,8.723129,8.723129
8.693693,8.739802,8.739802
8.708709,8.75605,8.75605
8.723723,8.771866,8.771866
8.738739,8.787247,8.787247
8.753754,8.802193,8.802193
8.768768,8.816711,8.816711
8.783784,8.830811,8.830811
