epoch,action_accuracy,privacy_accuracy
1,26.66666805744171,10.000000149011612
2,26.66666805744171,10.000000149011612
3,26.66666805744171,13.333334028720856
4,33.33333432674408,13.333334028720856
5,30.000001192092896,10.000000149011612
6,26.66666805744171,10.000000149011612
7,33.33333432674408,10.000000149011612
8,33.33333432674408,6.666667014360428
9,33.33333432674408,10.000000149011612
10,33.33333432674408,10.000000149011612
11,33.33333432674408,3.333333507180214
12,33.33333432674408,3.333333507180214
13,33.33333432674408,6.666667014360428
14,33.33333432674408,10.000000149011612
15,33.33333432674408,10.000000149011612
16,33.33333432674408,3.333333507180214
17,33.33333432674408,10.000000149011612
18,33.33333432674408,3.333333507180214
19,33.33333432674408,10.000000149011612
20,33.33333432674408,6.666667014360428
21,33.33333432674408,10.000000149011612
22,33.33333432674408,10.000000149011612
23,33.33333432674408,6.666667014360428
24,33.33333432674408,10.000000149011612
25,33.33333432674408,10.000000149011612
26,33.33333432674408,10.000000149011612
27,33.33333432674408,10.000000149011612
28,33.33333432674408,10.000000149011612
29,33.33333432674408,10.000000149011612
30,33.33333432674408,10.000000149011612
31,33.33333432674408,10.000000149011612
32,33.33333432674408,10.000000149011612
33,33.33333432674408,10.000000149011612
34,33.33333432674408,10.000000149011612
35,33.33333432674408,10.000000149011612
36,33.33333432674408,10.000000149011612
37,33.33333432674408,10.000000149011612
38,33.33333432674408,10.000000149011612
39,33.33333432674408,10.000000149011612
40,33.33333432674408,10.000000149011612
41,33.33333432674408,10.000000149011612
42,33.33333432674408,10.000000149011612
43,33.33333432674408,10.000000149011612
44,33.33333432674408,10.000000149011612
45,33.33333432674408,10.000000149011612
46,33.33333432674408,10.000000149011612
47,33.33333432674408,10.000000149011612
48,33.33333432674408,10.000000149011612
49,33.33333432674408,10.000000149011612
50,33.33333432674408,10.000000149011612
