epoch,action_accuracy,privacy_accuracy
1,33.33333432674408,6.666667014360428
2,30.000001192092896,16.66666716337204
3,33.33333432674408,13.333334028720856
4,43.33333373069763,20.000000298023224
5,43.33333373069763,23.333333432674408
6,33.33333432674408,10.000000149011612
7,46.666666865348816,20.000000298023224
8,43.33333373069763,10.000000149011612
9,36.666667461395264,16.66666716337204
10,46.666666865348816,23.333333432674408
11,36.666667461395264,23.333333432674408
12,43.33333373069763,23.333333432674408
13,40.00000059604645,13.333334028720856
14,33.33333432674408,10.000000149011612
15,40.00000059604645,13.333334028720856
16,33.33333432674408,16.66666716337204
17,40.00000059604645,10.000000149011612
18,40.00000059604645,13.333334028720856
19,40.00000059604645,13.333334028720856
20,33.33333432674408,20.000000298023224
21,33.33333432674408,13.333334028720856
22,33.33333432674408,10.000000149011612
23,33.33333432674408,16.66666716337204
24,33.33333432674408,10.000000149011612
25,33.33333432674408,10.000000149011612
26,33.33333432674408,10.000000149011612
27,33.33333432674408,10.000000149011612
28,33.33333432674408,10.000000149011612
29,33.33333432674408,16.66666716337204
30,40.00000059604645,10.000000149011612
31,40.00000059604645,10.000000149011612
32,33.33333432674408,10.000000149011612
33,33.33333432674408,10.000000149011612
34,33.33333432674408,10.000000149011612
35,33.33333432674408,10.000000149011612
36,33.33333432674408,13.333334028720856
37,36.666667461395264,10.000000149011612
38,33.33333432674408,10.000000149011612
39,33.33333432674408,10.000000149011612
40,36.666667461395264,10.000000149011612
41,33.33333432674408,10.000000149011612
42,33.33333432674408,10.000000149011612
43,33.33333432674408,10.000000149011612
44,33.33333432674408,10.000000149011612
45,33.33333432674408,16.66666716337204
46,33.33333432674408,10.000000149011612
47,33.33333432674408,10.000000149011612
48,33.33333432674408,13.333334028720856
49,33.33333432674408,10.000000149011612
50,33.33333432674408,10.000000149011612
