input,init_output,learned_output
2.717718,2.7655926,2.765243
2.7327328,2.781147,2.7808063
2.747748,2.7962666,2.7959354
2.7627628,2.8109548,2.8106327
2.777778,2.8252203,2.8249066
2.7927928,2.8390734,2.838768
2.807808,2.8525279,2.852231
2.8228228,2.8656023,2.865313
2.837838,2.8783162,2.8780339
2.8528528,2.8906918,2.8904161
2.867868,2.9027545,2.902485
2.882883,2.9145312,2.914267
2.897898,2.9260495,2.9257903
2.912913,2.937341,2.9370854
2.927928,2.9484353,2.948183
2.942943,2.959366,2.9591162
2.957958,2.970166,2.969918
2.972973,2.9808688,2.9806218
2.987988,2.9915094,2.9912624
3.0030031,3.0021224,3.0018742
3.018018,3.0127416,3.0124924
3.0330331,3.023403,3.0231514
3.048048,3.0341406,3.033886
3.0630631,3.0449889,3.0447302
3.0780783,3.0559812,3.0557177
3.0930932,3.0671504,3.0668817
3.1081083,3.078529,3.078254
3.1231232,3.090147,3.089865
3.1381383,3.1020348,3.1017451
3.1531532,3.1142194,3.1139219
3.1681683,3.126728,3.1264212
3.1831832,3.1395829,3.1392667
3.1981983,3.1528072,3.1524813
3.2132132,3.1664193,3.1660829
3.2282283,3.1804357,3.1800885
3.2432432,3.194869,3.194511
3.2582583,3.20973,3.2093601
3.2732735,3.2250233,3.2246423
3.2882884,3.2407515,3.2403593
3.3033035,3.256913,3.2565098
3.3183184,3.2735019,3.2730875
3.3333335,3.2905083,3.290083
3.3483484,3.3079166,3.3074813
3.3633635,3.3257084,3.325263
3.3783784,3.3438604,3.3434055
3.3933935,3.3623455,3.3618822
3.4084084,3.381132,3.3806605
3.4234235,3.400185,3.3997066
3.4384384,3.4194665,3.4189818
3.4534535,3.4389353,3.4384456
3.4684687,3.4585483,3.4580543
3.4834836,3.4782593,3.4777625
3.4984987,3.4980228,3.497524
3.5135136,3.5177908,3.5172908
3.5285287,3.5375166,3.5370169
3.5435436,3.5571525,3.5566535
3.5585587,3.5766535,3.576157
3.5735736,3.5959759,3.595482
3.5885887,3.615078,3.614588
3.6036036,3.6339204,3.6334355
3.6186187,3.6524684,3.6519887
3.6336336,3.670689,3.6702156
3.6486487,3.6885555,3.6880882
3.6636639,3.7060423,3.7055817
3.6786788,3.72313,3.7226765
3.6936939,3.7398033,3.739357
3.7087088,3.756051,3.755612
3.723724,3.7718666,3.771434
3.7387388,3.7872467,3.7868214
3.753754,3.8021932,3.8017743
3.7687688,3.8167114,3.8162985
3.783784,3.8308103,3.8304026
3.7987988,3.844502,3.844099
3.813814,3.8578024,3.8574035
3.8288288,3.8707297,3.8703341
3.843844,3.8833055,3.8829122
3.858859,3.895553,3.8951612
3.873874,3.907498,3.9071062
3.888889,3.919168,3.9187748
3.903904,3.9305916,3.9301965
3.918919,3.9418004,3.941402
3.933934,3.9528255,3.9524224
3.948949,3.9636998,3.9632907
3.963964,3.974457,3.9740403
3.978979,3.9851308,3.9847052
3.993994,3.995756,3.9953198
4.009009,4.006367,4.0059195
4.024024,4.0169992,4.0165386
4.039039,4.0276866,4.0272117
4.0540543,4.038465,4.037974
4.0690694,4.0493665,4.048858
4.084084,4.0604258,4.0598984
4.099099,4.0716753,4.0711274
4.1141143,4.083146,4.0825768
4.1291294,4.0948687,4.0942764
4.144144,4.106871,4.1062555
4.159159,4.1191826,4.1185417
4.1741743,4.131827,4.1311603
4.1891894,4.144828,4.1441336
4.204204,4.1582046,4.157483
4.219219,4.171977,4.171227
4.2342343,4.1861587,4.18538
4.2492495,4.200762,4.1999545
4.2642646,4.215795,4.214958
4.279279,4.231262,4.2303963
4.2942944,4.2471642,4.24627
4.3093095,4.263498,4.262576
4.3243246,4.2802553,4.2793064
4.3393393,4.297424,4.296449
4.3543544,4.314988,4.3139896
4.3693695,4.3329277,4.3319054
4.3843846,4.3512163,4.350173
4.3993993,4.369826,4.3687634
4.4144144,4.388723,4.3876443
4.4294295,4.407872,4.40678
4.4444447,4.427234,4.42613
4.45946,4.4467664,4.445653
4.4744744,4.466423,4.4653044
4.4894896,4.486161,4.485039
4.5045047,4.5059323,4.5048103
4.51952,4.525689,4.5245705
4.5345345,4.545384,4.5442715
4.5495496,4.5649714,4.5638685
4.5645647,4.5844064,4.583316
4.57958,4.6036453,4.60257
4.5945945,4.622648,4.6215897
4.6096096,4.641377,4.640339
4.6246247,4.6597977,4.6587815
4.63964,4.67788,4.676888
4.654655,4.695597,4.6946316
4.6696696,4.712926,4.7119884
4.6846848,4.72985,4.728941
4.6997,4.7463536,4.7454753
4.714715,4.7624297,4.761582
4.7297297,4.7780704,4.7772546
4.744745,4.7932773,4.792493
4.75976,4.8080516,4.8073
4.774775,4.8224006,4.8216815
4.7897897,4.8363347,4.8356476
4.804805,4.849868,4.849213
4.81982,4.863017,4.8623934
4.834835,4.875801,4.8752084
4.84985,4.8882427,4.88768
4.864865,4.900366,4.8998327
4.87988,4.912197,4.9116926
4.894895,4.923765,4.9232883
4.90991,4.9350996,4.9346495
4.924925,4.9462304,4.9458065
4.93994,4.9571915,4.956792
4.954955,4.9680147,4.9676394
4.96997,4.9787345,4.9783816
4.984985,4.9893847,4.9890532
5.0,5.0,4.9996896
5.015015,5.0106153,5.0103245
5.0300303,5.021266,5.020994
5.0450454,5.0319853,5.0317316
5.06006,5.0428085,5.0425715
5.075075,5.0537696,5.0535483
5.0900903,5.064901,5.0646954
5.1051054,5.0762353,5.076044
5.12012,5.087803,5.0876255
5.135135,5.099634,5.0994697
