input,init_output,learned_output
2.7027028,2.7496035,2.7495742
2.717718,2.7655926,2.7655647
2.7327328,2.781147,2.78112
2.747748,2.7962666,2.7962413
2.7627628,2.8109548,2.8109314
2.777778,2.8252203,2.8251982
2.7927928,2.8390734,2.8390524
2.807808,2.8525279,2.852509
2.8228228,2.8656023,2.8655846
2.837838,2.8783162,2.8783
2.8528528,2.8906918,2.890677
2.867868,2.9027545,2.9027412
2.882883,2.9145312,2.9145195
2.897898,2.9260495,2.9260395
2.912913,2.937341,2.9373322
2.927928,2.9484353,2.9484282
2.942943,2.959366,2.9593604
2.957958,2.970166,2.970162
2.972973,2.9808688,2.9808664
2.987988,2.9915094,2.9915082
3.0030031,3.0021224,3.0021224
3.018018,3.0127416,3.0127432
3.0330331,3.023403,3.0234063
3.048048,3.0341406,3.034145
3.0630631,3.0449889,3.044995
3.0780783,3.0559812,3.055989
3.0930932,3.0671504,3.0671597
3.1081083,3.078529,3.0785396
3.1231232,3.090147,3.0901592
3.1381383,3.1020348,3.1020484
3.1531532,3.1142194,3.1142347
3.1681683,3.126728,3.1267445
3.1831832,3.1395829,3.139601
3.1981983,3.1528072,3.1528268
3.2132132,3.1664193,3.1664405
3.2282283,3.1804357,3.1804583
3.2432432,3.194869,3.1948931
3.2582583,3.20973,3.209755
3.2732735,3.2250233,3.2250497
3.2882884,3.2407515,3.2407794
3.3033035,3.256913,3.2569425
3.3183184,3.2735019,3.2735324
3.3333335,3.2905083,3.29054
3.3483484,3.3079166,3.307949
3.3633635,3.3257084,3.3257422
3.3783784,3.3438604,3.3438947
3.3933935,3.3623455,3.3623807
3.4084084,3.381132,3.3811677
3.4234235,3.400185,3.400221
3.4384384,3.4194665,3.4195032
3.4534535,3.4389353,3.4389722
3.4684687,3.4585483,3.4585855
3.4834836,3.4782593,3.4782963
3.4984987,3.4980228,3.4980595
3.5135136,3.5177908,3.5178273
3.5285287,3.5375166,3.5375526
3.5435436,3.5571525,3.5571878
3.5585587,3.5766535,3.5766883
3.5735736,3.5959759,3.5960095
3.5885887,3.615078,3.6151104
3.6036036,3.6339204,3.6339517
3.6186187,3.6524684,3.6524982
3.6336336,3.670689,3.6707175
3.6486487,3.6885555,3.6885817
3.6636639,3.7060423,3.7060668
3.6786788,3.72313,3.7231529
3.6936939,3.7398033,3.7398243
3.7087088,3.756051,3.75607
3.723724,3.7718666,3.7718832
